PlantID,Timestamp,RowID,PlantName,SoilPH,SoilMoisture,Temperature,Humidity,AirQuality,Status
1,2023-08-24 15:42:53.387458,1,Carrot,5.5,22.9,32.5,86.8,12.4,Good
2,2023-08-24 15:42:53.387458,1,Potatoes,5.6,34.4,32.2,70.8,82.0,Moderate
3,2023-08-24 15:42:53.387458,1,Tomato,7.3,31.4,39.8,84.8,5.1,Good
4,2023-08-24 15:42:53.387458,1,Lettuce,5.5,26.8,22.3,85.6,2.6,Good
5,2023-08-24 15:42:53.387458,1,Cucumber,6.3,28.6,38.4,89.1,7.2,Good
6,2023-08-24 15:42:53.387458,1,Spinach,5.9,26.3,39.8,78.3,94.3,Moderate
7,2023-08-24 15:42:53.387458,1,Pepper,7.4,24.8,22.0,80.3,88.9,Moderate
8,2023-08-24 15:42:53.387458,1,Onion,5.8,32.9,26.5,85.6,53.6,Moderate
9,2023-08-24 15:42:53.387458,1,Radish,6.5,21.8,30.0,86.9,18.6,Good
10,2023-08-24 15:42:53.387458,1,Corn,7.0,37.5,37.6,74.4,55.6,Moderate
11,2023-08-24 15:42:53.387458,1,Eggplant,6.1,27.3,37.3,77.6,89.9,Moderate
12,2023-08-24 15:42:53.387458,1,Bean,7.1,26.3,20.3,73.0,3.3,Good
13,2023-08-24 15:42:53.387458,2,Carrot,5.8,30.0,30.9,80.3,84.2,Moderate
14,2023-08-24 15:42:53.387458,2,Potatoes,5.6,27.6,29.8,74.7,15.6,Good
15,2023-08-24 15:42:53.387458,2,Tomato,7.4,27.1,33.8,72.4,34.7,Good
16,2023-08-24 15:42:53.387458,2,Lettuce,6.0,25.7,38.2,79.5,64.6,Moderate
17,2023-08-24 15:42:53.387458,2,Cucumber,5.6,32.4,32.0,77.3,71.2,Moderate
18,2023-08-24 15:42:53.387458,2,Spinach,5.7,22.1,27.9,70.8,78.8,Moderate
19,2023-08-24 15:42:53.387458,2,Pepper,6.0,25.7,25.7,89.9,85.1,Moderate
20,2023-08-24 15:42:53.387458,2,Onion,6.4,39.7,30.7,75.6,77.1,Moderate
21,2023-08-24 15:42:53.387458,2,Radish,7.4,29.5,33.7,71.7,23.6,Good
22,2023-08-24 15:42:53.387458,2,Corn,5.7,38.5,23.6,75.8,88.1,Moderate
23,2023-08-24 15:42:53.387458,2,Eggplant,5.6,32.7,24.6,84.7,71.5,Moderate
24,2023-08-24 15:42:53.387458,2,Bean,6.5,28.3,37.8,85.9,29.9,Good
25,2023-08-24 15:42:53.388458,3,Carrot,7.1,36.9,25.0,86.7,92.2,Moderate
26,2023-08-24 15:42:53.388458,3,Potatoes,6.8,23.7,39.9,70.6,59.1,Moderate
27,2023-08-24 15:42:53.388458,3,Tomato,6.6,26.5,31.0,70.6,21.8,Good
28,2023-08-24 15:42:53.388458,3,Lettuce,6.7,39.3,25.8,86.7,40.3,Good
29,2023-08-24 15:42:53.388458,3,Cucumber,5.8,29.6,32.5,80.7,33.9,Good
30,2023-08-24 15:42:53.388458,3,Spinach,7.4,30.8,30.0,74.6,28.7,Good
31,2023-08-24 15:42:53.388458,3,Pepper,7.3,27.1,22.8,75.8,33.5,Good
32,2023-08-24 15:42:53.388458,3,Onion,7.1,37.5,21.3,89.9,10.3,Good
33,2023-08-24 15:42:53.388458,3,Radish,5.7,20.2,20.8,71.0,90.0,Moderate
34,2023-08-24 15:42:53.388458,3,Corn,7.3,24.2,26.5,71.2,54.4,Moderate
35,2023-08-24 15:42:53.388458,3,Eggplant,7.0,28.4,35.2,82.8,30.1,Good
36,2023-08-24 15:42:53.388458,3,Bean,6.9,25.0,24.1,75.6,35.7,Good
37,2023-08-24 15:42:53.388458,4,Carrot,6.0,22.8,38.0,70.0,78.4,Moderate
38,2023-08-24 15:42:53.388458,4,Potatoes,7.0,37.6,28.5,81.6,90.0,Moderate
39,2023-08-24 15:42:53.388458,4,Tomato,5.5,29.9,26.5,85.6,66.9,Moderate
40,2023-08-24 15:42:53.388458,4,Lettuce,6.4,21.6,21.2,79.3,99.6,Moderate
41,2023-08-24 15:42:53.388458,4,Cucumber,7.3,22.8,36.8,87.9,72.7,Moderate
42,2023-08-24 15:42:53.388458,4,Spinach,6.5,26.2,33.9,85.7,64.2,Moderate
43,2023-08-24 15:42:53.388458,4,Pepper,6.5,20.9,28.7,70.9,48.8,Good
44,2023-08-24 15:42:53.388458,4,Onion,7.1,27.1,32.2,73.4,81.9,Moderate
45,2023-08-24 15:42:53.388458,4,Radish,6.5,35.2,39.0,82.8,68.8,Moderate
46,2023-08-24 15:42:53.388458,4,Corn,6.9,27.9,38.3,80.7,50.4,Moderate
47,2023-08-24 15:42:53.388458,4,Eggplant,6.0,37.3,28.7,77.7,56.7,Moderate
48,2023-08-24 15:42:53.388458,4,Bean,6.0,36.7,38.9,76.8,63.6,Moderate
49,2023-08-24 15:42:53.388458,5,Carrot,6.8,24.8,35.0,85.3,34.4,Good
50,2023-08-24 15:42:53.388458,5,Potatoes,6.8,26.3,29.1,87.9,96.3,Moderate
51,2023-08-24 15:42:53.388458,5,Tomato,5.6,20.6,27.2,75.5,48.6,Good
52,2023-08-24 15:42:53.388458,5,Lettuce,6.0,24.0,38.4,79.0,93.0,Moderate
53,2023-08-24 15:42:53.388458,5,Cucumber,6.6,27.5,23.1,83.9,86.5,Moderate
54,2023-08-24 15:42:53.388458,5,Spinach,5.6,38.8,23.5,78.0,18.5,Good
55,2023-08-24 15:42:53.388458,5,Pepper,7.0,21.4,24.6,85.3,61.7,Moderate
56,2023-08-24 15:42:53.388458,5,Onion,6.2,28.0,37.5,79.1,2.1,Good
57,2023-08-24 15:42:53.388458,5,Radish,5.9,38.3,38.8,73.8,49.6,Good
58,2023-08-24 15:42:53.388458,5,Corn,5.8,22.7,31.6,70.3,71.0,Moderate
59,2023-08-24 15:42:53.388458,5,Eggplant,6.7,36.5,22.9,85.9,61.4,Moderate
60,2023-08-24 15:42:53.388458,5,Bean,6.0,34.4,26.7,84.5,81.0,Moderate
61,2023-08-24 15:42:53.388458,6,Carrot,6.6,33.6,21.2,88.5,78.2,Moderate
62,2023-08-24 15:42:53.388458,6,Potatoes,5.7,29.0,29.4,78.3,11.2,Good
63,2023-08-24 15:42:53.388458,6,Tomato,5.7,22.7,27.6,80.7,10.9,Good
64,2023-08-24 15:42:53.388458,6,Lettuce,7.2,31.4,38.2,74.4,33.8,Good
65,2023-08-24 15:42:53.388458,6,Cucumber,6.0,20.6,34.5,86.8,73.9,Moderate
66,2023-08-24 15:42:53.388458,6,Spinach,6.5,20.8,35.9,73.4,97.9,Moderate
67,2023-08-24 15:42:53.388458,6,Pepper,7.1,38.5,20.6,73.8,88.0,Moderate
68,2023-08-24 15:42:53.388458,6,Onion,7.4,38.8,24.3,78.8,61.8,Moderate
69,2023-08-24 15:42:53.388458,6,Radish,7.4,24.1,30.5,72.2,40.3,Good
70,2023-08-24 15:42:53.388458,6,Corn,6.3,37.9,26.0,83.2,96.4,Moderate
71,2023-08-24 15:42:53.388458,6,Eggplant,6.1,25.6,28.7,71.8,62.5,Moderate
72,2023-08-24 15:42:53.388458,6,Bean,5.8,27.7,31.3,82.3,55.3,Moderate
73,2023-08-24 15:42:53.388458,7,Carrot,7.5,34.9,32.8,89.0,44.4,Good
74,2023-08-24 15:42:53.388458,7,Potatoes,7.2,25.6,34.6,79.7,97.9,Moderate
75,2023-08-24 15:42:53.388458,7,Tomato,7.2,26.7,28.2,74.9,99.7,Moderate
76,2023-08-24 15:42:53.388458,7,Lettuce,6.8,31.1,39.5,85.5,35.4,Good
77,2023-08-24 15:42:53.388458,7,Cucumber,5.5,25.2,23.0,75.4,16.8,Good
78,2023-08-24 15:42:53.388458,7,Spinach,7.4,21.1,34.2,74.0,20.7,Good
79,2023-08-24 15:42:53.388458,7,Pepper,6.5,29.4,26.4,75.0,62.4,Moderate
80,2023-08-24 15:42:53.388458,7,Onion,7.4,31.2,25.8,87.1,26.8,Good
81,2023-08-24 15:42:53.388458,7,Radish,5.6,22.0,38.3,76.4,17.1,Good
82,2023-08-24 15:42:53.388458,7,Corn,6.3,34.5,34.9,84.2,62.9,Moderate
83,2023-08-24 15:42:53.388458,7,Eggplant,7.0,23.2,27.6,85.9,15.6,Good
84,2023-08-24 15:42:53.388458,7,Bean,5.7,21.5,23.5,75.3,73.7,Moderate
85,2023-08-24 15:42:53.389460,8,Carrot,6.5,31.8,32.9,86.3,2.2,Good
86,2023-08-24 15:42:53.389460,8,Potatoes,6.3,21.3,24.2,81.9,17.1,Good
87,2023-08-24 15:42:53.389460,8,Tomato,5.5,31.9,27.7,74.6,69.7,Moderate
88,2023-08-24 15:42:53.389460,8,Lettuce,5.6,23.0,23.1,86.5,52.4,Moderate
89,2023-08-24 15:42:53.389460,8,Cucumber,6.4,23.4,39.1,75.6,35.5,Good
90,2023-08-24 15:42:53.389460,8,Spinach,5.9,25.8,24.0,73.9,17.8,Good
91,2023-08-24 15:42:53.389460,8,Pepper,7.2,39.0,28.3,86.6,84.6,Moderate
92,2023-08-24 15:42:53.389460,8,Onion,7.2,36.9,34.6,72.9,23.5,Good
93,2023-08-24 15:42:53.389460,8,Radish,7.4,23.5,30.7,79.4,91.8,Moderate
94,2023-08-24 15:42:53.389460,8,Corn,7.2,20.4,36.4,89.0,45.8,Good
95,2023-08-24 15:42:53.389460,8,Eggplant,7.1,29.2,38.7,72.4,54.3,Moderate
96,2023-08-24 15:42:53.389460,8,Bean,7.4,23.0,32.6,87.7,98.5,Moderate
97,2023-08-24 15:42:53.389460,9,Carrot,6.6,26.9,31.1,84.3,65.3,Moderate
98,2023-08-24 15:42:53.389460,9,Potatoes,6.6,20.2,34.2,70.3,18.1,Good
99,2023-08-24 15:42:53.389460,9,Tomato,7.0,34.7,22.6,89.4,88.3,Moderate
100,2023-08-24 15:42:53.389460,9,Lettuce,6.7,34.9,22.8,79.4,64.1,Moderate
101,2023-08-24 15:42:53.389460,9,Cucumber,7.2,29.7,38.5,72.1,91.0,Moderate
102,2023-08-24 15:42:53.389460,9,Spinach,6.2,27.7,28.8,81.1,73.0,Moderate
103,2023-08-24 15:42:53.389460,9,Pepper,6.4,24.2,35.8,82.4,76.4,Moderate
104,2023-08-24 15:42:53.389460,9,Onion,6.2,23.9,28.1,70.9,57.3,Moderate
105,2023-08-24 15:42:53.389460,9,Radish,5.5,35.2,24.0,85.2,41.7,Good
106,2023-08-24 15:42:53.389460,9,Corn,6.1,24.8,30.9,77.7,45.3,Good
107,2023-08-24 15:42:53.389460,9,Eggplant,6.1,22.2,28.9,75.5,97.0,Moderate
108,2023-08-24 15:42:53.389460,9,Bean,6.7,30.5,31.4,83.2,56.6,Moderate
109,2023-08-24 15:42:53.389460,10,Carrot,6.4,39.7,21.0,83.2,43.8,Good
110,2023-08-24 15:42:53.389460,10,Potatoes,6.9,29.9,20.1,85.8,52.7,Moderate
111,2023-08-24 15:42:53.389460,10,Tomato,6.8,20.7,28.6,84.0,93.0,Moderate
112,2023-08-24 15:42:53.389460,10,Lettuce,6.9,33.7,21.9,71.2,47.4,Good
113,2023-08-24 15:42:53.389460,10,Cucumber,6.3,35.5,28.8,84.7,86.6,Moderate
114,2023-08-24 15:42:53.389460,10,Spinach,7.3,27.9,37.8,76.9,14.0,Good
115,2023-08-24 15:42:53.389460,10,Pepper,6.0,21.7,25.3,84.3,9.9,Good
116,2023-08-24 15:42:53.389460,10,Onion,6.5,22.0,29.7,83.5,5.0,Good
117,2023-08-24 15:42:53.389460,10,Radish,5.6,32.7,37.9,76.7,36.1,Good
118,2023-08-24 15:42:53.389460,10,Corn,6.8,34.3,23.2,86.3,56.7,Moderate
119,2023-08-24 15:42:53.389460,10,Eggplant,5.6,34.6,35.9,88.8,67.9,Moderate
120,2023-08-24 15:42:53.389460,10,Bean,7.5,20.3,28.8,79.2,33.3,Good
121,2023-08-24 15:42:53.389460,11,Carrot,6.5,26.8,23.2,75.0,3.7,Good
122,2023-08-24 15:42:53.389460,11,Potatoes,7.4,20.9,25.6,84.1,15.7,Good
123,2023-08-24 15:42:53.389460,11,Tomato,7.3,25.2,32.1,86.5,89.6,Moderate
124,2023-08-24 15:42:53.389460,11,Lettuce,7.1,34.4,39.3,80.3,98.3,Moderate
125,2023-08-24 15:42:53.389460,11,Cucumber,5.8,34.7,31.2,71.0,57.4,Moderate
126,2023-08-24 15:42:53.389460,11,Spinach,6.5,28.4,35.9,81.5,55.3,Moderate
127,2023-08-24 15:42:53.389460,11,Pepper,6.3,29.2,20.8,73.2,36.2,Good
128,2023-08-24 15:42:53.389460,11,Onion,5.6,34.3,34.2,71.1,4.1,Good
129,2023-08-24 15:42:53.389460,11,Radish,7.5,30.0,22.1,82.3,31.0,Good
130,2023-08-24 15:42:53.389460,11,Corn,5.6,27.3,31.7,82.0,16.9,Good
131,2023-08-24 15:42:53.389460,11,Eggplant,5.6,38.0,32.1,87.4,36.4,Good
132,2023-08-24 15:42:53.389460,11,Bean,6.4,23.9,28.9,79.0,87.8,Moderate
133,2023-08-24 15:42:53.389460,12,Carrot,7.5,35.3,35.5,89.9,67.9,Moderate
134,2023-08-24 15:42:53.389460,12,Potatoes,6.7,30.7,30.7,79.0,34.0,Good
135,2023-08-24 15:42:53.389460,12,Tomato,6.4,24.5,23.6,86.3,57.8,Moderate
136,2023-08-24 15:42:53.389460,12,Lettuce,5.9,30.6,39.8,80.1,11.8,Good
137,2023-08-24 15:42:53.389460,12,Cucumber,6.8,34.7,31.2,83.1,68.3,Moderate
138,2023-08-24 15:42:53.389460,12,Spinach,6.6,26.5,27.2,87.5,98.7,Moderate
139,2023-08-24 15:42:53.389460,12,Pepper,5.5,40.0,31.5,89.8,98.5,Moderate
140,2023-08-24 15:42:53.389460,12,Onion,6.9,39.9,20.7,82.4,89.0,Moderate
141,2023-08-24 15:42:53.389460,12,Radish,5.8,26.3,33.0,71.3,48.5,Good
142,2023-08-24 15:42:53.389460,12,Corn,5.6,34.7,39.9,81.4,1.0,Good
143,2023-08-24 15:42:53.389460,12,Eggplant,6.3,33.8,33.8,76.2,67.1,Moderate
144,2023-08-24 15:42:53.389460,12,Bean,6.1,34.9,23.5,87.0,27.9,Good
